,RESPONDENT_ID,Code1,Code2,Code3,Code4,Response
0,2111,7,,,,social security
1,2112,6,,,,hell make sure the middle class and low income survive
2,2118,1,,,,"Simply put, Donald Trump is mentally ill and extremely corrupt."
3,2133,11,,,,there is none.
4,2134,1,,,,It is time for a change for the better.
5,2140,1,,,,He doesn't spout off like Trump
6,2141,2,,,,Because he fair and honest and can be trusted for not lying to the public like Trump does all the time you do not know if he ever tells the truth or is living in space
7,2144,5,,,,He is better qualified for the job - and bring back respect for America
8,2145,1,2.0,,,He is not D. Trump
9,2149,11,5.0,1.0,,"i do not support Joe Biden he is not good for president. I will vote for Donald Trump, he is the best candidate."
10,2165,97,,,,Someone needs a new dogcatcher
11,2166,1,,,,A better man than TRUMP
12,2167,2,4.0,5.0,,"Although I have some issues with him, Biden has many years of experience in government, and can act in a sane and reasonable manner in governing the country and trying to rebuild our international relationships."
13,2170,97,,,,"He isn?t a racist, sexist narcissist"
14,2179,3,2.0,,,He is honest and wants to bring Americans together not tear the country apart.
15,2181,97,,,,na
16,2185,11,,,,I can?t think of any reason to support him
17,2189,11,,,,None!
18,2190,99,,,,really unsure
19,2192,2,,,,Honesty guy
20,2194,2,,,,He's honest & humble because he has experienced some of the same losses as the rest of us.
21,2196,5,,,,He is the better man to lead the country
22,2200,5,6.0,,,He's strong and cares about people like me.
23,2204,1,,,,To get Donald Trump out of office
24,2205,3,,,,He is going to unite the country.
25,2208,3,,,,He will not divide the country into two segments.  He also is not looking to have only white people here.
26,2210,97,,,,I would not support Biden for President
27,2211,13,6.0,,,I believe he will be fair to the working class of people and not give in to the wealthy.
28,2213,11,,,,Nothing
29,2217,11,13.0,,,There is not a reason.  He has done nothing in all his years in politics
30,2224,3,,,,"He will unite, not divide our country"
31,2225,97,,,,"He condemned white supremacists. If you can't do the bare minimum and do that, then why would I even consider voting for you."
32,2227,1,2.0,,,He is more honest and has more of the deamenor of a president.
33,2228,11,,,,None
34,2229,12,,,,None he has dementia
35,2230,11,,,,none
36,2231,11,5.0,13.0,,I can find no reason.  He would not actually be an active president...Kamala & the very left will control what he does & says.
37,2234,5,,,,I?d rather not say exactly why.  But based on my research I believe he is the better candidate.
38,2236,5,,,,Because I believe he would be a great president
39,2242,1,,,,better for the country
40,2244,1,,,,He is not Trump.
41,2249,1,,,,he's not Trump.
42,2252,3,,,,He cares about us.
43,2256,8,,,,Healthcare
44,2258,3,4.0,,,He is competent and unify the country.
45,2261,2,,,,hes a nice person
46,2265,2,,,,His honesty
47,2267,97,,,,Concerns
48,2270,11,,,,none.he a black assed  you know what lover!!!
49,2271,99,,,,I really don?t know
50,2281,11,,,,Nothing to support him for.
51,2284,1,,,,"I don?t care for either one, but I dislike Trump much more."
52,2294,11,5.0,,,There isn't one.  He has been in this field for awhile and has done nothing so why would he start now? He talks stupid and doesn't remember things alot this is not someone that I would want to run my country.
53,2296,97,,,,because its very good and i love it very much
54,2301,97,,,,We need someone who can bring us together not break us apart
55,2302,1,13.0,,,I see no good reason to support Joe Biden for president.  He is a frightening far left liberal who is trying to destroy America
56,2306,12,,,,He's a great guy maybe a little older but he knows what he's doing he'll briback America
57,2308,97,,,,He will stabilize America after the dumpster fire of the last 4 yrs
58,2310,8,,,,Health care
59,2316,1,6.0,,,"he cares about the middle class, and I am middle class.  Donald Trump looks out for the upper class only."
60,2321,13,1.0,,,Trump and his cronies think they're the only ones fit to run everything. That commie one party to rule all will never happen in this country.
61,2322,8,,,,Health care
62,2325,13,,,,He's a moderate who's not a socialist.
63,2334,11,,,,There is no reason
64,2335,11,,,,there is no good reason to support Biden
65,2338,1,,,,Donald Trump is the Antichrist!
66,2341,13,,,,It will stop Antifa from rioting.
67,2351,1,,,,He?s not Donald Trump.
68,2352,1,5.0,,,He has leadership skills. Trump does not.
69,2353,1,,,,He's not TRUMP.
70,2355,12,,,,He is ethical
71,2359,97,,,,TO RID THE COUNTRY OF THUMPS BULLING....WE ARE SICK OF THE CONSTANT ANGER AND LYING
72,2360,1,,,,He's not Trump
73,2362,11,,,,None
74,2369,97,,,,Positive movement
75,2372,7,,,,Saving Social security
76,2374,3,2.0,5.0,,"He has more experience, and is a much more decent person. He is honest, and wants equality."
77,2378,1,,,,he's slightly better than trump (if he is not going to drop dead when he's running or as president
78,2382,3,6.0,,,"Because I believe that he cares about this country, he has empathy and integrity.He care about the middle class."
79,2383,97,,,,They both suck at doing there thing
80,2384,6,1.0,2.0,,He is honest and has great integrity. He is not afraid to work to make AMerica a better place for the low and middle income people who basically make up this country
81,2385,11,,,,There isn't one.
82,2387,11,,,,Nothing
83,2389,4,,,,He will bring competency and decency back to the presidency.
84,2391,99,,,,I honestly can?t think of any
85,2392,11,,,,There is NO reason to support Biden for president
86,2404,1,,,,We have to dump Trump
87,2408,3,,,,He will unite the United States
88,2417,11,,,,I can't think of any reason to support Joe Biden for president
89,2418,1,13.0,,,"I can't think of any good reason to elect Biden.  He will have a very brief honeymoon, then the protests and civil disorder will continue at the same rate.    Electing him will convince the far left that America is behind their agenda."
90,2422,97,,,,The bizarre comedy that a Biden press conference would be
91,2423,97,,,,Health
92,2424,1,,,,Better than trump
93,2428,5,1.0,9.0,,"The United States needs to be restored in the eyes of the world and in the health of its citizens and economy.  We need to work towards healing the divisions between races and classes in our country, divisions that have been made worse by the Trump years.  Joe Biden is an experienced statesman, he is a champion of democracy and human rights.  Joe Biden can heal our country, lift us up, and move us forward even surpassing where we were before Trump began to tear down the foundations of our society and government."
94,2430,1,,,,He isnt trump
95,2433,98,,,,There are no good reasons for voting for Biden.
96,2437,2,,,,He's honest
97,2440,11,13.0,,,"there is no reason to vote for hi, he is not capable of leading this country"
98,2446,1,,,,Not happy with the way Trump is handling things
99,2447,11,,,,I am having a rough time thinking of why I want to support him.
100,2448,5,3.0,2.0,1.0,because biden sounds like he would be a good president. Trump down play the coronavirus and he still does.  He divides our people. He allows the police to kill blacks .He is not a good president. He think only about his self then to help our people.
101,2449,11,,,,There is no good reason to support him.
102,2451,4,,,,He is not insane
103,2452,8,10.0,,,"He puts protecting healthcare, especially the retired, disabled, and unemployed first; restructuring the police system around the country; and getting control on the COVID-19 pandemic."
104,2454,5,11.0,,,I can't think of any he just like all others. Once he gets into office he'll forget all his promises
105,2457,1,,,,"Because Trump is an Idiot, I happen to know this because I have met him."
106,2463,11,,,,I do not have a reason to support him because of what he stand for
107,2470,2,1.0,3.0,,"He CAN UNITE our country and tell us the truth-unlike what trump does every day to the American ppl, he ALWAYS lies to us and Joe I know wont do that"
108,2472,5,,,,hes got experience he cares hes more calming what we need right now
109,2474,3,,,,He will be better to unite the country so we can take on racial issues and coronavirus.
110,2476,2,,,,He lies a lot less and doesn't support the good old boys!
111,2478,5,,,,He can do. It
112,2481,11,,,,I can't think of any reason to support biden for president
113,2482,11,,,,none
114,2489,11,,,,NONE
115,2490,97,,,,Help lie income
116,2494,11,4.0,12.0,5.0,There isn't any reason.  He's old and senile.  He's been in office 50 years and did nothing. He's a blithering idiot and that Harris idiot will be president and destroy our way of life.
117,2501,97,,,,Character and honesty leadership
