RESPONDENT_ID,Code1,Code2,Code3,Code4,Response
1000014,,,,,
1000015,,,,,
1000019,15,,,,The change this country needs
1000021,28,20,,,"again, idiotic"
1000024,,,,,
1000027,16,,,,It the right person for the job
1000030,35,,,,TROP CONSERVATEUR
1000034,,,,,
1000036,11,,,,Honest
1000037,15,,,,right now he is following Harper and PC view maybe later
1000041,,,,,
1000044,99,,,,Donât know
1000045,5,,,,BON
1000049,9,,,,Gets things done
1000050,,,,,
1000051,12,,,,"Man of power, I still have lots of researching to do"
1000053,34,,,,Not in a great way now
1000054,35,,,,I think he's a typical conservative who will cater to rich people.
1000055,,,,,
1000058,,,,,
1000060,97,,,,I don't think he is looking out for everyday Canadians
1000064,18,20,,,"Arrogant, self-serving, clueless"
1000065,,,,,
1000066,,,,,
1000067,35,,,,"A more moderate conservative than some but still built from the same substance as Harper, who I have zero respect for."
1000068,97,,,,A wanna be
1000069,,,,,
1000073,,,,,
1000076,97,,,,I wouldn't describe Erin O'Toole!
1000077,,,,,
1000080,,,,,
1000082,,,,,
1000087,,,,,
1000089,21,26,,,Confusing.  I donât know where he stands on many issues.  He changes his mind a lot.
1000094,15,35,,,New conservative leader who seems to have some ideas for managing the country's economy.
1000095,,,,,
1000097,20,,,,Idiot.
1000098,18,,,,Pompous and arrogant lying elite. Full of rhetoric with no real desire to engage in civil debate
1000099,35,,,,He is a typical conservative and while they have some good policies they do not align with my own.
1000100,25,,,,Erin O'Toole has strong ideas and he does favor the rich which are NOT most Canadians.  He appears to be a dictator.
1000101,27,,,,not mgood for the job
1000102,,,,,
1000103,,,,,
1000105,,,,,
1000106,,,,,
1000108,,,,,
1000109,97,,,,I think his military background makes him a threat to a lot of liberties that we have gained over the years.
1000112,,,,,
1000114,,,,,
1000116,36,,,,no idea
1000118,36,,,,Not sure
1000119,15,,,,The next Prime Minister of Canada
1000120,,,,,
1000122,97,,,,Unsure if he will cut social wellbeing especially the health care.
1000126,,,,,
1000127,,,,,
1000128,33,,,,Same old PC values.
1000129,,,,,
1000131,19,,,,a bit of a snake oil salesman
1000133,,,,,
1000135,,,,,
1000137,,,,,
1000140,,,,,
1000142,32,,,,He is somewhat of a Canadian version of Trump.
1000143,,,,,
1000145,,,,,
1000148,,,,,
1000150,97,,,,Take away the Erin O and what are you left with? I wouldnât trust him to leave Canada to prosperous times when he canât even control his own party.
1000152,,,,,
1000153,,,,,
1000156,30,,,,Far right
1000162,,,,,
1000165,,,,,
1000167,34,,,,Je n'aime pas plus cet homme. Je le sens pas bien.
1000168,,,,,
1000170,,,,,
1000177,,,,,
1000181,14,12,,,As a Canadian politican & leader of a national party - MOST UNDESIRABLE
1000183,21,,,,Boring
1000184,20,,,,disaster
1000186,24,,,,Erin O'Toole is not trustworthy.
1000187,18,,,,He will help the rich and doesn'tcare about the poor.
1000189,98,,,,No special words
1000191,36,,,,No comment
1000192,15,,,,change
1000193,15,,,,The leader I want to replace Justin Trudeau
1000196,35,,,,Conservateur rÃ©trograde au lÃ©ger penchant sexiste
1000199,15,32,35,,Stephen Harper lite; Trump lite; Conservatives and the Peoples Party are not that dissimilar.
1000201,,,,,
1000203,97,,,,More interested in large businesses than the average person. People with needs in this country will not be taken care of if he is the leader. He will have his own agenda.
1000205,,,,,
1000207,,,,,
1000214,,,,,
1000218,,,,,
1000219,,,,,
1000220,30,,,,A typical conservative not really willing to see beyond his own idea of politics
1000221,,,,,
1000222,,,,,
1000223,28,,,,dÃ©cevant
1000224,33,,,,A typical politician
1000225,,,,,
1000226,99,,,,Un homme a ec certaines idÃ©es.
1000227,,,,,
1000228,,,,,
1000229,,,,,
1000230,34,,,,NOT VERY GOOD
1000231,,,,,
1000233,97,,,,un trou de cul de premiÃ¨re
1000234,,,,,
1000235,34,,,,Someone who I would ultimately despise. Their morals donât match up with mine.
1000236,24,,,,caved in to Quebec separatists to get support in Quebec. A traitor pure and simple.
1000237,,,,,
1000238,,,,,
1000240,14,,,,Il est honnÃªte Ã  amener une amÃ©lioration pour le Canada
1000241,,,,,
1000242,,,,,
1000244,97,,,,Un clown pas dr?ole
1000246,30,,,,Droite
1000248,,,,,
1000249,28,,,,Not qualified
1000250,,,,,
1000251,35,,,,Un homme trop conservateur
1000253,28,,,,Incompetent
1000254,34,35,,,he is basically like most conservative leaders. he doesn't really make any good points and can be contradicting at times.
1000257,,,,,
1000259,35,,,,Un conservateur
1000260,99,,,,Je ne saurais le dÃ©crire.
1000261,,,,,
1000263,,,,,
1000265,97,,,,"A Canadian redneck, and an asshole that only cares about big business and the wealthy."
1000267,,,,,
1000274,33,30,,,"I would describe Erin OâToole as a typical politician: rich, white, and old."
1000275,97,,,,IntÃ©ressant
1000277,99,,,,je ne le connais pas
1000278,,,,,
1000280,,,,,
1000282,99,,,,Un chef qui ne sera pas lÃ  trÃ¨s longtemps...
1000283,,,,,
1000284,15,,,,equally worse or even worse as justin trudeau
1000285,,,,,
1000290,97,,,,Un homme avec du caractere et n ai pas du cote des gens ordinaire
1000292,99,,,,I have no idea of who they are
1000293,,,,,
1000294,97,,,,I felt bad for Erin. Is this all true???
1000296,5,,,,Good
1000297,,,,,
1000298,97,,,,un arriÃ¨rÃ© qui se cache derriÃ¨re une facade pour faire acroire qu'il est moins arriÃ¨rÃ©
1000299,,,,,
1000301,,,,,
1000304,34,23,,,"He is not as great as I thought he would have been. With politics there is always corruption, but Erin O'Toole seems to be more corrupt than more."
1000305,33,,,,Un politicien pareil comme tous les autres.
1000306,,,,,
1000307,,,,,
1000308,,,,,
1000309,,,,,
1000310,97,,,,peut-Ãªtre une bonne personne mais dans un parti qui contient des Ã©lÃ¨ments radicaux
1000311,,,,,
1000312,22,,,,Racist tool who caters to the elite and business class. Doesn't support sll Canadians.
1000313,,,,,
1000315,34,,,,i dont like them
1000316,97,,,,"Quelquâun de disciplinÃ©, soucieux autant des gens que des entreprises et qui a Ã  cÅur lâÃ©volution des soins de santÃ© mais aussi lâÃ©conomie pour le meilleur du Canada"
1000318,,,,,
1000320,,,,,
1000322,27,,,,non responsable
1000323,,,,,
1000324,,,,,
1000325,97,,,,Tres bon candidat
1000327,36,,,,Unsure
1000328,97,,,,Hhj
1000330,97,,,,Personne avec peu de bonnesconvictions poltiques pour le pays et peu de jugement.
1000331,,,,,
1000332,,,,,
1000333,,,,,
1000334,34,,,,Horrible
1000335,,,,,
1000336,97,,,,pour moi ce ne serait pas un bon chef
1000337,,,,,
1000338,,,,,
1000339,,,,,
1000340,34,15,,,"Dont know that much about him as a person, couldnt be any worse then trudeau"
1000343,,,,,
1000344,33,,,,"I don't know. He sounded cool at first, but he's just a typical politician apparently."
1000346,13,,,,down to earth person
1000349,97,,,,sup ma nigga
1000350,36,,,,Je sais pas
1000351,,,,,
1000354,,,,,
1000358,20,,,,selfish prick
1000360,,,,,
1000362,97,,,,Canadian keader
1000363,9,,,,Ambitieux
1000366,,,,,
1000367,,,,,
1000368,,,,,
1000369,33,,,,He is just like any other politician and cares for business and the Canadian people as a secondary
1000371,14,,,,"An experienced businessman that is willing to stand up for Canada,"
1000372,34,,,,"I don't know much about the man, I'd need to read up more on him. Starting to think those statements were fabricated..."
1000373,,,,,
1000381,99,,,,je sais pas trop
1000382,,,,,
1000384,,,,,
1000385,,,,,
1000390,,,,,
1000391,36,,,,Meh
1000399,22,,,,A homophobic bigot who only cares about the rich and white
1000404,35,,,,typical conservative
1000406,99,,,,I don't know
1000410,29,,,,Push over. Liar
1000412,99,,,,don't know
1000413,,,,,
1000414,26,,,,Not reliable
1000415,97,,,,Learning still does not make a specific decision who to vote yet
1000417,36,,,,Not sure
1000418,18,,,,"focused on interests of only a few, wealthier canadians"
1000419,99,,,,I donât know
1000420,,,,,
1000422,,,,,
1000433,,,,,
1000436,,,,,
1000438,,,,,
1000441,,,,,
1000442,,,,,
1000444,17,,,,indivudalistic
1000445,97,,,,I do not agree with any of their views based on what I have read
1000446,,,,,
1000448,11,,,,"Harsh, but willing to do what's necessary"
1000454,5,27,,,I think he is a good guy that makes bad choices whilst being encouraged by the wrong people.
1000456,,,,,
1000459,,,,,
1000460,,,,,
1000461,97,,,,Sounds like he's trying to relate to the everyday person but is just a capitalist in sheep's clothing
1000462,,,,,
1000465,,,,,
1000468,36,,,,pas sur
1000469,19,,,,"Wants people to believe heâs the verge normal guy, but isnt"
1000471,,,,,
1000473,15,16,,,He seems like a better leader for the conservatives that I have seen yet. I would like to hear more about him and hear his thoughts on the disgusting inequality between races.
1000476,,,,,
1000477,,,,,
1000479,,,,,
1000481,99,,,,Idk
1000485,36,,,,Not sure
1000488,18,,,,"Pro business.  Out of touch with real people - you are very sheltered and protected when you are in the military.  He is against proper funding of health care, and pro breaks for big business.  Anyone who does not have big bucks will see their standard of living and access to health care strongly diminished."
1000489,36,,,,Okay
1000490,,,,,
1000493,97,,,,Doing her job the best she can trying to help out for cerb
1000494,30,35,,,"conservative, right wing"
1000495,,,,,
1000496,,,,,
1000500,36,,,,no comment
1000501,,,,,
1000503,24,,,,"Not to be trusted, cares more for corporations and his rich friends"
1000504,36,,,,no idea
1000508,,,,,
1000509,97,,,,Comme quelqu'un d'impliquÃ© qui ecoute le peuple. Ce qui Ã©tait Ã©crit dans les questions prÃ©cÃ©dentes est une campagne de salissage des libÃ©raux.
1000511,36,,,,aucune opinion
1000512,,,,,
1000513,,,,,
1000514,97,,,,Someone who is all for the 1% and big corporations and will destroy the working class
1000515,,,,,
1000517,6,,,,Knowledgeable
1000519,34,,,,"I still hate the man, nothing has changed"
1000520,97,,,,Ni pire ni meilleur que tt les autres
1000521,97,,,,EST POUR LES RICHES
1000522,99,,,,Il faut avancer et contrÃ´ler notre dÃ©ficit.
1000524,15,,,,not an invitational party of new thinking will steer back too Harper inputs and make 'the taking process' as a same old down turn
1000525,18,,,,aloof
1000526,,,,,
1000529,,,,,
1000530,,,,,
1000531,,,,,
1000532,97,,,,He needs to change priorities for the middle & lower class citizens.
1000533,27,,,,Not fit to run a bean counting game.
1000534,,,,,
1000535,,,,,
1000536,,,,,
1000537,,,,,
1000538,,,,,
1000539,,,,,
1000540,34,,,,Indespicable
1000541,97,,,,Un garsroche
1000542,35,,,,a conservative only helping the rich
1000543,,,,,
1000544,97,,,,stephen harper 2.0
1000545,,,,,
1000546,,,,,
1000548,11,,,,un homme dÃ©terminÃ©
1000550,19,24,7,,"Hypocrite, two-faced, manipulative"
1000551,,,,,
1000552,,,,,
1000553,,,,,
1000555,,,,,
1000557,,,,,
1000558,97,,,,Priorities are in the wrong place.
1000559,,,,,
1000560,97,,,,better than a drama teacher that only got elected for his looks
1000561,,,,,
1000565,34,,,,Nothing GOOD
1000566,,,,,
1000567,,,,,
1000568,24,,,,Sympathique menteur
1000569,97,,,,honnÃªte
1000570,35,,,,Conservateur
1000571,99,,,,I donât know
1000572,97,,,,Diverse
1000573,33,,,,un politicien comme un autre
1000575,,,,,
1000576,27,23,,,Greedy and not the leader we need.
1000577,,,,,
1000579,,,,,
1000581,12,,,,Good leader
1000585,15,,,,"A man who has similar values to me, ready to take action and lead our country making the tough decisions Justin ""fluff"" Trudeau won't"
1000588,34,,,,"I donât like him, I donât know him"
1000591,,,,,
1000592,,,,,
1000593,,,,,
1000598,13,,,,down to earth
1000601,,,,,
1000602,,,,,
1000603,35,,,,"Un conservateur typique, mais moins extrÃªme que le prÃ©cÃ©dent"
1000606,11,35,,,"Standard conservative, but I appreciate that he claims to be pro choice and LGBT supportive. An improvement over Scheer"
1000607,,,,,
1000612,,,,,
1000621,97,,,,na
1000622,28,,,,Not prepared
1000624,,,,,
1000627,97,,,,Je dirais qu'on est pas sorti de l'auberge. pfff
1000628,,,,,
1000630,36,,,,Unsure
1000634,,,,,
1000635,,,,,
1000640,,,,,
1000641,,,,,
1000643,30,,,,Un chef de parti pris avec une aile de droite qui contrÃ´le son agenda. Il devra montrer plus de conviction pour prendre le contrÃ´le de son parti.
1000644,11,,,,Somewhat of a good man
1000645,11,,,,"il est embu de lui-mÃªme ,inconscient  ,aucune pitiÃ© pour  le peuple  et sans respect pour le domaine de la santÃ©"
1000646,,,,,
1000647,,,,,
1000649,8,15,,,"Peut-Ãªtre pas la personne dont je me faisais une idÃ©e favorable sur certains points. Cependant, il ferait mieux que Justin Trudeau sur d'autres points"
1000650,21,,,,Worrying
1000655,,,,,
1000656,12,,,,"un leader, mais pas aussi charismatique que Stephen Happer"
1000658,,,,,
1000661,,,,,
1000665,36,,,,He is ok.
1000667,,,,,
1000670,15,,,,parfaite pour changer les choses
1000671,97,,,,A good man with good ideas
1000678,,,,,
1000679,,,,,
1000680,,,,,
1000681,5,,,,Nice
1000682,24,,,,He is not trustworthy. He would creat considerable labour unrest in the country.
1000683,97,,,,corect
1000685,97,,,,Parler franÃ§ais
1000687,97,,,,un individu que je dÃ©teste
1000691,,,,,
1000693,,,,,
1000694,97,,,,climbing his way to the top
1000696,,,,,
1000703,,,,,
1000707,35,,,,Conservative
1000709,,,,,
1000712,20,,,,He is very confusing
1000713,,,,,
1000717,,,,,
1000720,34,,,,he is a terrible person who should in no way be running a country
1000721,,,,,
1000722,33,,,,A typical politician. Tries to appeal to whoever is listening but isnât honest.
1000728,,,,,
1000737,11,,,,Decent person
1000738,35,,,,"He sounds like a good fit for the Conservative party, Iâm happy he agrees with same sex marriage and womenâs rights"
1000740,,,,,
1000743,,,,,
1000744,97,,,,"Thinking about everything you have learned, how would you describe Erin O'Toole"
1000754,35,,,,A conservative who doesn't care about people like me
1000755,,,,,
1000759,16,,,,I like it
1000763,,,,,
1000771,,,,,
1000772,,,,,
1000773,,,,,
1000774,99,,,,Idk
1000775,97,,,,Powerful
1000776,,,,,
1000779,97,,,,A douche who wants money in his pocket
1000783,19,,,,Contradicting
1000785,,,,,
1000791,21,,,,Annoying
1000797,,,,,
1000798,32,,,,"He is insensitive, he doesnt care about low income Canadians or students, he isnt strong enough on climate change, he is a wannabe trump who we have no place for in Canada"
1000799,,,,,
1000800,97,,,,En apprentissage
1000801,,,,,
1000803,20,,,,slow
1000805,27,,,,Maybe not the best leader for the conservatives
1000806,,,,,
1000808,36,,,,NO COMMENT
1000810,,,,,
1000812,,,,,
1000814,,,,,
1000815,,,,,
1000816,,,,,
1000817,99,,,,Comme une personne radicale.
1000818,19,,,,"Insincere, stifles opposing views."
1000821,30,,,,too conservative
1000822,27,,,,"Big business supporter, not a supporter of the lower class"
1000824,33,,,,two faced opportunistic politician
1000827,,,,,
1000830,98,,,,Zero
1000831,,,,,
1000832,,,,,
1000833,,,,,
1000834,,,,,
1000835,26,,,,Fausses promesses
1000836,20,,,,asshole
1000837,,,,,
1000838,28,,,,no experience
1000839,9,15,,,A work in progress. Anyone has to be better than Trudeau
1000840,97,,,,Still the same
1000841,99,,,,Je ne le connais pas assez
1000842,97,,,,a man from the military
1000843,,,,,
1000844,99,,,,"Le meme qu,avant"
1000845,,,,,
1000846,28,,,,He seems to be sensible but lacks experience to run a country
1000847,7,,,,crafty
1000848,,,,,
1000849,97,,,,He does not at times seem to see the whole picture and really needs to syep up to the plate for ALL Canadians.
1000850,9,,,,A business man
1000851,,,,,
1000852,14,,,,the best leader to get Canada back on track
1000853,97,,,,"A victim of misinformation from academia, the mainstream media and social media - all of which have a vested interest in maintaining hte Liberal party in power."
1000854,,,,,
1000855,97,,,,Il prÃ©fÃ¨re les riches a la classe moyenne
1000856,,,,,
1000857,97,,,,Dangereux pour la paix sociale au pays. Les inÃ©galitÃ©s vont se dÃ©velloper
1000859,11,,,,Honest and trustworthy and the best choice to lead our country.
1000860,,,,,
1000863,97,,,,had to tell right now anyone looks better than the liberals
1000865,,,,,
1000867,20,,,,I think Tool is the right description
